Time,Test Feature,Status,Comments
14:47:25,,,Begin executing Suite: Default Suite
14:47:26,,,Begin executing Test: TestArtifact
14:47:26,,,Before Invocation of method: setUp
14:47:26,,,After Invocation of method: setUp
14:47:26,,,Test Status: extendBaseFlow
14:47:26,,,Before Invocation of method: extendBaseFlow
14:47:31,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:47:31,extendBaseFlow,fail,Test Status: extendBaseFlow
14:47:31,extendBaseFlow,fail,Test Context: org.testng.TestRunner@289710d9
14:47:31,,,Before Invocation of method: wrapUp
