Time,Test Feature,Status,Comments
14:51:19,,,Begin executing Suite: Default Suite
14:51:20,,,Begin executing Test: TestArtifact
14:51:20,,,Before Invocation of method: setUp
14:51:20,,,After Invocation of method: setUp
14:51:20,,,Test Status: extendBaseFlow
14:51:20,,,Before Invocation of method: extendBaseFlow
14:51:26,,,Environment is QA and sponsor not specified
14:51:26,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:51:26,extendBaseFlow,fail,Test Status: extendBaseFlow
14:51:26,extendBaseFlow,fail,Test Context: org.testng.TestRunner@503ecb24
14:51:26,,,Before Invocation of method: wrapUp
