Time,Test Feature,Status,Comments
14:48:27,,,Begin executing Suite: Default Suite
14:48:28,,,Begin executing Test: TestArtifact
14:48:28,,,Before Invocation of method: setUp
14:48:28,,,After Invocation of method: setUp
14:48:28,,,Test Status: extendBaseFlow
14:48:28,,,Before Invocation of method: extendBaseFlow
14:48:33,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:48:33,extendBaseFlow,fail,Test Status: extendBaseFlow
14:48:33,extendBaseFlow,fail,Test Context: org.testng.TestRunner@7ac0e420
14:48:33,,,Before Invocation of method: wrapUp
