Time,Test Feature,Status,Comments
14:39:09,,,Begin executing Suite: Default Suite
14:39:10,,,Begin executing Test: TestArtifact
14:39:10,,,Before Invocation of method: setUp
14:39:10,,,After Invocation of method: setUp
14:39:10,,,Test Status: extendBaseFlow
14:39:10,,,Before Invocation of method: extendBaseFlow
14:39:16,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:39:16,extendBaseFlow,fail,Test Status: extendBaseFlow
14:39:16,extendBaseFlow,fail,Test Context: org.testng.TestRunner@289710d9
14:39:16,,,Before Invocation of method: wrapUp
