Time,Test Feature,Status,Comments
17:10:57,,,Begin executing Suite: Default Suite
17:10:57,,,Begin executing Test: TestArtifact
17:10:57,,,Before Invocation of method: setUp
17:10:57,,,After Invocation of method: setUp
17:10:57,,,Test Status: extendBaseFlow
17:10:57,,,Before Invocation of method: extendBaseFlow
17:11:02,extendBaseFlow,,After Invocation of method: extendBaseFlow
17:11:02,extendBaseFlow,fail,Test Status:: extendBaseFlow
