Time,Test Feature,Status,Comments
14:54:02,,,Begin executing Suite: Default Suite
14:54:02,,,Begin executing Test: TestArtifact
14:54:02,,,Before Invocation of method: setUp
14:54:02,,,After Invocation of method: setUp
14:54:02,,,Test Status: extendBaseFlow
14:54:02,,,Before Invocation of method: extendBaseFlow
14:54:08,,,Environment is QA and sponsor not specified
14:54:08,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:54:08,extendBaseFlow,fail,Test Status: extendBaseFlow
14:54:08,extendBaseFlow,fail,Test Context: org.testng.TestRunner@2cc3ad05
14:54:08,,,Before Invocation of method: wrapUp
