Time,Test Feature,Status,Comments
14:55:28,,,Begin executing Suite: Default Suite
14:55:28,,,Begin executing Test: TestArtifact
14:55:28,,,Before Invocation of method: setUp
14:55:28,,,After Invocation of method: setUp
14:55:28,,,Test Status: extendBaseFlow
14:55:28,,,Before Invocation of method: extendBaseFlow
14:55:35,,,Environment is QA and sponsor not specified
14:55:35,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:55:35,extendBaseFlow,pass,Completed executing test: extendBaseFlow
14:55:35,,,Before Invocation of method: wrapUp
