Time,Test Feature,Status,Comments
17:40:32,,,Begin executing Suite: Default Suite
17:40:33,,,Begin executing Test: TestArtifact
17:40:33,,,Before Invocation of method: setUp
17:40:33,,,After Invocation of method: setUp
17:40:33,,,Test Status: extendBaseFlow
17:40:33,,,Before Invocation of method: extendBaseFlow
17:40:38,extendBaseFlow,,After Invocation of method: extendBaseFlow
17:40:38,extendBaseFlow,fail,Test Status: extendBaseFlow
17:40:38,extendBaseFlow,fail,Test Context: org.testng.TestRunner@7ac0e420
